category,products,avg_price,avg_rating,reviews,avg_discount
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,13,394.92769230769227,3.9923076923076923,53801051368819961023459111470296727433079452871108,44.84615384615385
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,1,199.0,4.1,270563,60.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",1,244.0,3.3,478,51.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",3,204.0,4.2,232640744971,56.333333333333336
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",1,1099.0,4.5,1065,27.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",5,1004.4,4.08,42386181456693178,37.4
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",1,4799.0,3.9,3815,17.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",3,519.0,3.733333333333333,1854401451,41.333333333333336
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",1,599.0,4.2,590,54.0
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,3,1256.0,3.4333333333333336,106724492283,47.666666666666664
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,1,2599.0,4.4,2116,39.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,1,3599.0,4.2,136,55.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,10,552.9,4.08,20314499421621527645845786316445323739,53.9
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,2,519.0,4.3,96957,23.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,11,812.7272727272727,4.290909090909091,30961564662912401811140418024612300227827,52.90909090909091
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,19,1000.5263157894736,4.057894736842105,842718462103463555461429043281729547413111481988976055131314160222,41.68421052631579
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,3,984.0,4.233333333333333,550152526531,42.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,10,2113.9,4.05,540323138839724979111199150347801446919156,44.9
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,12,2745.0833333333335,3.891666666666667,492726164220611217537241109513746527374200,44.166666666666664
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,2,3499.0,3.7,28103527,52.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,19,1117.2631578947369,4.031578947368421,12336531783633501559223484809028911742424661466784463052198231155177671015272518,39.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,13,971.1538461538462,3.9615384615384617,1403010749761193569317653112832517863892510663858,44.23076923076923
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,2,3683.83,3.8,128371662,21.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,8,1285.375,4.0375,794616461498167915586027441113,41.875
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,26,2851.0953846153843,3.9961538461538457,65304405041349253401406226543438343070118282086988664978466489587988520621624221100465501846108514087771332751,44.34615384615385
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,2,5149.0,4.25,88739734,9.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,3,1564.3333333333333,4.333333333333333,794942449331,13.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,5,2651.8,3.96,4411340637402904118,31.8
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,1,1999.0,4.4,388,33.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,11,1465.5454545454545,4.1000000000000005,4010613127282471656231410451672237759676987,32.36363636363637
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,1,688.0,4.5,2280,8.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,1,635.0,4.3,4570,0.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,7,387.42857142857144,3.6714285714285713,1962127811297287761724,31.428571428571427
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,3,999.0,4.033333333333333,832120239,53.333333333333336
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,1,587.0,4.1,557,55.0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",24,762.1666666666666,4.129166666666666,23316242471302915453466471616653553712615593036977225045807619722348671732591110632714184640040221868,34.25
